,doi,authors,title,abstract,issue
0,10.1145/3314388,"Sayma Akther, Nazir Saleheen, Shahin Alan Samiei, Vivek Shetty, Emre Ertin, Santosh Kumar",mORAL: An mHealth Model for Inferring Oral Hygiene Behaviors in-the-wild Using Wrist-worn Inertial Sensors,"We address the open problem of reliably detecting oral health behaviors passively from wrist-worn inertial sensors. We present our model named mORAL (pronounced em oral) for detecting brushing and flossing behaviors, without the use of instrumented toothbrushes so that the model is applicable to brushing with still prevalent manual toothbrushes. We show that for detecting rare daily events such as toothbrushing, adopting a model that is based on identifying candidate windows based on events, rather than fixed-length timeblocks, leads to significantly higher performance. Trained and tested on 2,797 hours of sensor data collected over 192 days on 25 participants (using video annotations for ground truth labels), our brushing model achieves 100% median recall with a false positive rate of one event in every nine days of sensor wearing. The average error in estimating the start/end times of the detected event is 4.1% of the interval of the actual toothbrushing event.","Volume 3 Issue 1, March 2019"
1,10.1145/3314389,"Ling Chen, Yifang Ding, Dandan Lyu, Xiaoze Liu, Hanyu Long",Deep Multi-Task Learning Based Urban Air Quality Index Modelling,"Obtaining comprehensive air quality information can help protect human health from air pollution. Existing spatially fine-grained estimation methods and forecasting methods have the following problems: 1) Only a part of data related to air quality is considered. 2) Features are defined and extracted artificially. 3) Due to the lack of training samples, they usually cannot achieve good generalization performance. Therefore, we propose a deep multi-task learning (MTL) based urban air quality index (AQI) modelling method (PANDA). On one hand, a variety of air quality-related urban big data (meteorology, traffic, factory air pollutant emission, point of interest (POI) distribution, road network distribution, etc.) are considered. Deep neural networks are used to learn the representations of these relevant spatial and sequential data, as well as to build the correlation between AQI and these representations. On the other hand, PANDA solves spatially fine-grained AQI level estimation task and AQI forecasting task jointly, which can leverage the commonalities and differences between these two tasks to improve generalization performance. We evaluate PANDA on the dataset of Hangzhou city. The experimental results show that our method can yield a better performance compared to the state-of-the-art methods.","Volume 3 Issue 1, March 2019"
2,10.1145/3314390,"Mingshi Chen, Panlong Yang, Jie Xiong, Maotian Zhang, Youngki Lee, Chaocan Xiang, Chang Tian",Your Table Can Be an Input Panel: Acoustic-based Device-Free Interaction Recognition,"This paper explores the possibility of extending the input and interactions beyond the small screen of the mobile device onto ad hoc adjacent surfaces, e.g., a wooden tabletop with acoustic signals. While the existing finger tracking approaches employ the active acoustic signal with a fixed frequency, our proposed system Ipanel employs the acoustic signals generated by sliding of fingers on the table for tracking. Different from active signal tracking, the frequency of the finger-table generated acoustic signals keeps changing, making accurate tracking much more challenging than the traditional approaches with fix frequency signal from the speaker. Unique features are extracted by exploiting the spatio-temporal and frequency domain properties of the generated acoustic signals. The features are transformed into images and then we employ the convolutional neural network (CNN) to recognize the finger movement on the table. Ipanel is able to support not only commonly used gesture (click, flip, scroll, zoom, etc.) recognition, but also handwriting (10 numbers and 26 alphabets) recognition at high accuracies. We implement Ipanel on smartphones, and conduct extensive real environment experiments to evaluate its performance. The results validate the robustness of Ipanel, and show that it maintains high accuracies across different users with varying input behaviours (e.g., input strength, speed and region). Further, Ipanel's performance is robust against different levels of ambient noise and varying surface materials.","Volume 3 Issue 1, March 2019"
3,10.1145/3314391,"Xinlei Chen, Yu Wang, Jiayou He, Shijia Pan, Yong Li, Pei Zhang",CAP: Context-aware App Usage Prediction with Heterogeneous Graph Embedding,"Context-aware mobile application (App) usage prediction benefits a variety of applications such as precise bandwidth allocation, App launch acceleration, etc. Prior works have explored this topic through individual data profiles and contextual information. However, it is still a challenging problem because of the following three aspects: i. App usage behavior is usually influenced by multiple factors, especially temporal and spatial factors. ii. It is difficult to describe individuals' preferences, which are usually time-variant. iii. A single user's data is sparse on the spatial domain and only covers a limited number of locations. Prediction becomes more difficult when the user appears at a new location.
This paper presents CAP, a context-aware App usage prediction algorithm that takes both contextual information (location &amp; time) and attribution (App with type information) into consideration. We find that the relationships between App-location, App-time, and App-App type are essential to prediction and propose a heterogeneous graph embedding algorithm to map them into the common comparable latent space. In addition, we create a user profile for each user with App usage and trajectory history to describe the individual dynamic preference for personalized prediction. We evaluate the performance of our proposed CAP with two large-scale real-world datasets. Extensive evaluations demonstrate that CAP achieves 30% higher accuracy than a state-of-the-art method Personalized Ranking Metric Embedding (PRME) in terms of Accuracy@5. In terms of mean reciprocal rank (MRR), CAP achieves 1.5× higher than the straightforward baseline Sta and 2× higher than PRME. Our investigation enables a range of applications to benefit from such timely predictions, including network operators, service providers, and etc.","Volume 3 Issue 1, March 2019"
4,10.1145/3314392,"Ying-Yu Chen, Ziyue Li, Daniela Rosner, Alexis Hiniker",Understanding Parents' Perspectives on Mealtime Technology,"For young children, family meals are an enjoyable and developmentally useful part of daily life. Although prior work has shown that ubiquitous computing solutions can enhance children's eating habits and mealtime experiences in valuable ways, other work demonstrates that many families are hesitant to use technology in this context. This paper examines adoption barriers for technology for family meals to understand with more nuance what parents value and resist in this space. Using mixed methods, we first observed family dinnertime experiences and then surveyed 122 parents with children from two to six years old. We found that parents prefer screen-based technology over voice interfaces and smart objects, because parents perceive the latter two systems to intrude on their relationship with children. The pervasiveness of smart objects embedded at meals led parents to worry about distraction and technology dependence, while the anthropomorphization of voice interfaces led parents to worry that this technology could displace parenting relationships or disrupt interpersonal interactions among family members. Parents mindlessly applied social scripts to voice interfaces, suggesting families may be more likely to apply concerns from interpersonal interactions to voice interfaces than to other technologies. We discuss the ways different form factors appeal to and worry parents, providing designers with insights about the likelihood of adoption and acceptance.","Volume 3 Issue 1, March 2019"
5,10.1145/3314393,"Yun Cheng, Xiaoxi He, Zimu Zhou, Lothar Thiele",ICT: In-field Calibration Transfer for Air Quality Sensor Deployments,"Recent years have witnessed a growing interest in urban air pollution monitoring, where hundreds of low-cost air quality sensors are deployed city-wide. To guarantee data accuracy and consistency, these sensors need periodic calibration after deployment. Since access to ground truth references is often limited in large-scale deployments, it is difficult to conduct city-wide post-deployment sensor calibration. In this work we propose In-field Calibration Transfer (ICT), a calibration scheme that transfers the calibration parameters of source sensors (with access to references) to target sensors (without access to references). On observing that (i) the distributions of ground truth in both source and target locations are similar and (ii) the transformation is approximately linear, ICT derives the transformation based on the similarity of distributions with a novel optimization formulation. The performance of ICT is further improved by exploiting spatial prediction of air quality levels and multi-source fusion. Experiments show that ICT is able to calibrate the target sensors as if they had direct access to the references.","Volume 3 Issue 1, March 2019"
6,10.1145/3314394,"Chia-Fang Chung, Qiaosi Wang, Jessica Schroeder, Allison Cole, Jasmine Zia, James Fogarty, Sean A. Munson",Identifying and Planning for Individualized Change: Patient-Provider Collaboration Using Lightweight Food Diaries in Healthy Eating and Irritable Bowel Syndrome,"Identifying and planning strategies that support a healthy lifestyle or manage a chronic disease often require patient-provider collaboration. For example, people with healthy eating goals often share everyday food, exercise, or sleep data with health coaches or nutritionists to find opportunities for change, and patients with irritable bowel syndrome (IBS) often gather food and symptom data as part of working with providers to diagnose and manage symptoms. However, a lack of effective support often prevents health experts from reviewing large amounts of data in time-constrained visits, prevents focusing on individual goals, and prevents generating correct, individualized, and actionable recommendations. To examine how to design photo-based diaries to help people and health experts exchange knowledge and focus on collaboration goals when reviewing the data together, we designed and developed Foodprint, a photo-based food diary. Foodprint includes three components: (1) A mobile app supporting lightweight data collection, (2) a web app with photo-based visualization and quantitative visualizations supporting collaborative reflection, and (3) a pre-visit note communicating an individual's expectations and questions to experts. We deployed Foodprint in two studies: (1) with 17 people with healthy eating goals and 7 health experts, and (2) with 16 IBS patients and 8 health experts. Building upon the lens of boundary negotiating artifacts and findings from two field studies, our research contributes design principles to (1) prepare individuals to collect data relevant to their health goals and for collaboration, (2) help health experts focus on an individual's eating context, experiences, and goals in collaborative review, and (3) support individuals and experts to develop individualized, actionable plans and strategies.","Volume 3 Issue 1, March 2019"
7,10.1145/3314395,"Afsaneh Doryab, Anind K. Dey, Grace Kao, Carissa Low",Modeling Biobehavioral Rhythms with Passive Sensing in the Wild: A Case Study to Predict Readmission Risk after Pancreatic Surgery,"Biobehavioral rhythms are associated with numerous health and life outcomes. We study the feasibility of detecting rhythms in data that is passively collected from Fitbit devices and using the obtained model parameters to predict readmission risk after pancreatic surgery. We analyze data from 49 patients who were tracked before surgery, in hospital, and after discharge. Our analysis produces a model of individual patients' rhythms for each stage of treatment that is predictive of readmission. All of the rhythm-based models outperform the traditional approaches to readmission risk stratification that uses administrative data.","Volume 3 Issue 1, March 2019"
8,10.1145/3314396,"Hendrik Engelbrecht, Stephan G. Lukosch, Dragos Datcu",Evaluating the Impact of Technology Assisted Hotspot Policing on Situational Awareness and Task-Load,"Everyday field work of a police officer requires the perception, filtering and understanding of large amounts of information in highly dynamic situations. This presents opportunities for ICT to alleviate strain on officers by providing adequate information provisioning. We evaluate the usage of a mobile location-based hotspot policing system, comprised of a smartphone, smartwatch and a web-application, during real field work with officers in high and low hotspot density locations. We use a repeated measures design to compare possible effects with our baseline measure, i.e. field work without using the system. Usability, task-load and situational awareness (SA), as well as possible mediators, are evaluated to gain insight into the differences between modes of transportation and the overall viability of the system itself. No significant difference was found between the two locations. Officers using the system scored high on usability measures and interview feedback was largely positive. Measures on SA remained stable throughout baseline and experimental shifts. Task-load was significantly higher with the use of the system. The contradiction in these findings can be explained by showing the differences in the nature of field work with and without the system.","Volume 3 Issue 1, March 2019"
9,10.1145/3314397,"Mikhail Fomichev, Max Maass, Lars Almon, Alejandro Molina, Matthias Hollick",Perils of Zero-Interaction Security in the Internet of Things,"The Internet of Things (IoT) demands authentication systems which can provide both security and usability. Recent research utilizes the rich sensing capabilities of smart devices to build security schemes operating without human interaction, such as zero-interaction pairing (ZIP) and zero-interaction authentication (ZIA). Prior work proposed a number of ZIP and ZIA schemes and reported promising results. However, those schemes were often evaluated under conditions which do not reflect realistic IoT scenarios. In addition, drawing any comparison among the existing schemes is impossible due to the lack of a common public dataset and unavailability of scheme implementations.
In this paper, we address these challenges by conducting the first large-scale comparative study of ZIP and ZIA schemes, carried out under realistic conditions. We collect and release the most comprehensive dataset in the domain to date, containing over 4250 hours of audio recordings and 1 billion sensor readings from three different scenarios, and evaluate five state-of-the-art schemes based on these data. Our study reveals that the effectiveness of the existing proposals is highly dependent on the scenario they are used in. In particular, we show that these schemes are subject to error rates between 0.6% and 52.8%.","Volume 3 Issue 1, March 2019"
