,editor_name,editor_institute,editor_country
0,Silvia  Santini,USI Lugano,Switzerland
1,Tao  Gu,Macquarie University,Australia
2,Judy  Kay,University of Sydney,Australia
3,Uichin  Lee,KAIST,Republic of Korea
4,Lena  Mamykina,Columbia University,United States
5,Thomas  Ploetz,Georgia Institute of Technology,United States
6," <a href=""/profile/81387591875"" class=""link"">Stephan  Sigg</a>",Aalto University,Finland
7,Kristof  Van Laerhoven,University of Siegen,Germany
8,Chenren  Xu,Peking University,China
9,A. J.  Brush,Microsoft Research,United States
10,Anind  Dey,University of Washington,United States
11,Adrian  Friday,Lancaster University,United Kingdom
12,James  Landay,Stanford University,United States
13,Daqing  Zhang,Peking University,China
14,Nabil  Alshurafa,Northwestern University,United States
15,Florian  Alt,LMU Munich,Germany
16,Nilanjan  Banerjee,"University of Maryland, Baltimore County",United States
17,Nikola  Banovic,University of Michigan,United States
18,Jakob E. Bardram,Technical University of Denmark,Denmark
19,Michael  Beigl,Karlsruhe Institute of Technology,Germany
20,Nadia  Berthouze,University College London,United Kingdom
21,Claudio  Bettini,Università degli Studi di Milano,Italy
22,Sourav  Bhattacharya,Samsung AI Center,United Kingdom
23,Eun Kyoung Choe,University of Maryland College Park,United States
24,Hao-Hua  Chu,National Taiwan University,Taiwan
25,Adrian K. Clear,National University of Ireland,United Kingdom
26,Sarah  Clinch,University of Manchester,United Kingdom
27,Diane  Cook,Washington State University,United States
28,Enrico  Costanza,University College London,United Kingdom
29,Nigel  Davies,Lancaster University,United Kingdom
30,Munmun  De Choudhury,Georgia Institute of Technology,United States
31,Franca  Delmastro,Institute for Informatics and Telematics (CNR),Italy
32,Anind  Dey,University of Washington,United States
33,Tilman  Dingler,University of Melbourne,Australia
34,Afsaneh  Doryab,Carnegie Mellon University,United States
35,Daniel  Epstein,University of California Irvine,United States
36,Katayoun  Farrahi,University of Southampton,United Kingdom
37,Sean  Follmer,Stanford University,United States
38,Mike  Fraser,University of Bristol,United Kingdom
39,Daniel  Gatica-Perez,Idiap-EPFL,Switzerland
40,Hans  Gellersen,Lancaster University and Aarhus University,Denmark
41,Mayank  Goel,Carnegie Mellon University,United States
42,Jorge  Goncalves,University of Melbourne,Australia
43,Yu  Guan,University of Warwick,United Kingdom
44,Bin  Guo,Northwestern Polytechnical University,China
45,Sidhant  Gupta,Microsoft Research,United States
46,Qi  Han,Colorado School of Mines,United States
47,Kotaro  Hara,Singapore Management University,Singapore
48,Jennifer A. Healey,Intel,United States
49,Josiah  Hester,Northwestern University,United States
50,Christian  Holz,ETH Zurich,Switzerland
51,Inseok  Hwang,POSTECH,Republic of Korea
52,Sozo  Inoue,Kyushu Institute of Technology,Japan
53,Stephen  Intille,Northeastern University,United States
54,Zhanpeng  Jin,University at Buffalo,United States
55,Seungwoo  Kang,KOREATECH,Republic of Korea
56,Cindy Hsin-Liu  Kao,Cornell University,United States
57,Yoshihiro  Kawahara,The University of Tokyo,Japan
