id,title,abstract,"Normal paper? (e.g., not a survey paper, report or proposal)",Using near-infrared?,Mobile?,"Technical? (e.g., not a fundamental study or use a product only)","Involving apparatus? (e.g., not a chip or filter design, or a dataset)",Included?,doi,Remarks,pdf,url,filename,request needed?,Excluded?
5,A Method to Evaluate Spectral Analysis by Spectroscopy,"Visible and near infrared spectroscopy has been widely used to develop a method for rapidly determining organic carbon in soils or sediments (SOC). Most of these studies concentrated on how to establish a good spectral model but ignored how to evaluate the method, such as the use of detection range (max and min), resolution and error for SOC spectral analysis. Here, we proposed a method to evaluate the spectral analysis of SOC. Using 96 sediments sampled in the Yellow Sea and Bohai Sea, China, we established three spectral models of SOC after collecting their spectral reflectance by Agilent Cary 5000, ASD FieldSpec 4 and Ocean Optics QEPro, respectively. For both the calibration set and validation set in each spectrometer, the predicted SOC concentrations followed a distribution curve (function), in which the x-axis was the SOC concentrations. Using these curves, we developed these four technical parameters. The detection ranges were the SOC concentrations where the curve was near to or crossing with the lateral axis, while the detection resolution was the average difference between the two neighboring SOC concentrations. The detection errors were the differences between the predicted SOC and the measured SOC. Results showed that these technical parameters were better in the bench-top spectrometer (Cary 5000) than those in the portable spectrometers when analyzing the same samples. For the portable spectrometers, QEPro had a broader detection range and more consistent detection error than FieldSpec 4, suggesting that the low-cost QEPro performed as well as the high-cost FieldSpec 4. This study provides a good example for evaluating spectral analysis by spectroscopy, which can support the development of the spectral method. \textcopyright{} 2022 by the authors.",,,,,,TRUE,10.3390/s22155638,,,https://doi.org/10.3390/s22155638,10.3390__s22155638,,FALSE
6,A Miniaturized Flexible Functional Near-infrared Spectroscopy System for Obstructive Sleep Apnea Detection,"The clinical manifestations of OSA (obstructive sleep apnea) are night sleep snoring accompanied by apnea. fNIRS (functional near-infrared spectroscopy) can measure the relative concentration changes of oxyhemoglobin and deoxyhemoglobin, thereby measuring hemodynamics and oxygenation. Combined with the clinical manifestations of obstructive sleep apnea, fNIRS technology can be used in the monitoring of OSA. According to the principle of fNIRS, a miniaturized, wireless, and flexible device is designed in the article. The device can measure the change of blood oxygen concentration in the forehead of the brain, so that achieve the purpose of detecting OSA. To verify the effectiveness of the equipment, a breathing experiment was designed in the article to compare the equipment with the existing NIRX system. To our best knowledge, this is the first work that proposed a miniaturized flexible sleep apnea system based on monitoring fluctuations of cerebral hemodynamics. Meanwhile, the feasibility of the proposed system was verified. However, the stability of the equipment and related data processing algorithms need to be enhanced. The proposed system is expected to pave the way for the investigation of the involvement of the cerebral hemodynamics in the pathogenesis of OSA patients.",,,,,,TRUE,10.1109/ISCAS48785.2022.9937752,,,https://doi.org/10.1109/ISCAS48785.2022.9937752,10.1109__ISCAS48785.2022.9937752,,FALSE
11,A Non-Invasive Cholesterol Measuring Device Using a Photodiode Sensor With a BLYNK Interface,"Degenerative disease affects the central nervous system, bones and joints, blood vessels, and heart and is caused by the degeneration of a tissue or organ system over time. Cholesterol is a naturally occurring chemical that has the physical properties of fat but a steroidal composition. Cholesterol is routinely created in the proper amounts by the body. Normal cholesterol levels in the body can be restored by utilizing the Easy Touch GCU device, which can be bought conveniently and inexpensively. Its use, however, necessitates the assistance of medical specialists. Non-invasive procedures, for example, have been widely developed in the development of measuring equipment or detection of cholesterol levels. Using infrared light (NIR) and lasers, non-invasive techniques of detecting cholesterol levels have been developed. Designing block. Diagrams, power supply circuits, light source circuits, photoresistor transducer circuits, Arduino microcontrollers, and software on mobile \_phones are all part of the design and construction of a cholesterol measurement device. To. test this module experimentally, compare the cholesterol monitoring module created with\_ the gold standard. 'The findings demonstrate \_that non-invasive level monitoring is a measurement of accuracy and error measurement. The error of measuring cholesterol in the blood using a module with a non-invasive method is 1.46\%, with an accuracy of 98.54\%. In the future, a non-invasive deep cholesterol measuring device des-igned in research can reduce medical-waste 'and be more convenient to use. The design of non-invasive cholesterol is expected to be able to quickly evaluate cholesterol levels. \textcopyright{} 2022 IEEE.",,,,,,TRUE,10.1109/ICOIACT55506.2022.9972007,,,https://doi.org/10.1109/ICOIACT55506.2022.9972007,10.1109__ICOIACT55506.2022.9972007,,FALSE
12,A Wearable Prefrontal Cortex Oxygen Saturation Measurement System Based on Near Infrared Spectroscopy,"The measurement of blood oxygen saturation in the prefrontal cortex (PFC), especially during sleep, is of great significance for clinical research. Herein, we present a wearable PFC oxygen saturation measurement system using dual-wavelength functional near-infrared spectroscopy. The system is well designed for user-friendly donning and has the advantages of comfort, convenience, portability, and affordability. The performance of the proposed system is investigated by the calibration and experimental results. The wearable system has demonstrated great potential to conduct the physiological monitoring of PFC, and it can be widely deployed in daily life. \textcopyright{} 2022 by the authors. Licensee MDPI, Basel, Switzerland.",,,,,,TRUE,10.3390/electronics11131971,,,https://doi.org/10.3390/electronics11131971,10.3390__electronics11131971,,FALSE
13,Accuracy and Reproducibility of Laboratory Diffuse Reflectance Measurements with Portable VNIR and MIR Spectrometers for Predictive Soil Organic Carbon Modeling,"Soil spectroscopy in the visible-to-near infrared (VNIR) and mid-infrared (MIR) is a costeffective method to determine the soil organic carbon content (SOC) based on predictive spectral models calibrated to analytical-determined SOC reference data. The degree to which uncertainty in reference data and spectral measurements contributes to the estimated accuracy of VNIR and MIR predictions, however, is rarely addressed and remains unclear, in particular for current handheld MIR spectrometers. We thus evaluated the reproducibility of both the spectral reflectance measurements with portable VNIR and MIR spectrometers and the analytical dry combustion SOC reference method, with the aim to assess how varying spectral inputs and reference values impact the calibration and validation of predictive VNIR and MIR models. Soil reflectance spectra and SOC were measured in triplicate, the latter by different laboratories, for a set of 75 finely ground soil samples covering a wide range of parent materials and SOC contents. Predictive partial least-squares regression (PLSR) models were evaluated in a repeated, nested cross-validation approach with systematically varied spectral inputs and reference data, respectively. We found that SOC predictions from both VNIR and MIR spectra were equally highly reproducible on average and similar to the dry combustion method, but MIR spectra were more robust to calibration sample variation. The contributions of spectral variation (\ensuremath{\Delta}RMSE < 0.4 g\cdot{}kg-1) and reference SOC uncertainty (\ensuremath{\Delta}RMSE < 0.3 g\cdot{}kg-1) to spectral modeling errors were small compared to the difference between the VNIR and MIR spectral ranges (\ensuremath{\Delta}RMSE ~1.4 g\cdot{}kg-1 in favor of MIR). For reference SOC, uncertainty was limited to the case of biased reference data appearing in either the calibration or validation. Given better predictive accuracy, comparable spectral reproducibility and greater robustness against calibration sample selection, the portable MIR spectrometer was considered overall superior to the VNIR instrument for SOC analysis. Our results further indicate that random errors in SOC reference values are effectively compensated for during model calibration, while biased SOC calibration data propagates errors into model predictions. Reference data uncertainty is thus more likely to negatively impact the estimated validation accuracy in soil spectroscopy studies where archived data, e.g., from soil spectral libraries, are used for model building, but it should be negligible otherwise. \textcopyright{} 2022 by the authors. Licensee MDPI, Basel, Switzerland.",,,,,,TRUE,10.3390/s22072749,,,https://doi.org/10.3390/s22072749,10.3390__s22072749,,FALSE
14,Achieving robustness across different ages and cultivars for an NIRS-PLSR model of fresh cassava root starch and dry matter content,"This study used a portable near-infrared (NIR) spectrometer at wavelengths of 570–1031 nm to evaluate starch content (SC) and dry matter content (DMC) in fresh cassava tubers. An improved model was developed for the prediction of cassava tuber quality. The cassava samples were taken from four main varieties: CMR38-125-77, KU50, RY11, and RY9. The samples were obtained 4–12 months after planting (MAP). Partial least squares (PLR) regression was combined with different variable selection methods and spectral pre-treatment. Their accuracies were then compared. Variable selection methods included the successive projections algorithm (SPA) and the genetic algorithm (GA). The NIR spectra were obtained in the interactance mode under field conditions. The GA wavelengths combined with sequential pre-processing by orthogonalization (SPORT) pre-processing provided the optimum model for predicting both the SC and the DMC of cassava. The R2p, RMSEp, and RPD of SC were 0.91, 1.76\%, and 3.26, respectively, and those of DMC were 0.75, 2.00\%, and 2.00, respectively. The most effective model was tested against unknown samples of newly developed varieties obtained from different harvest seasons, yielding RMSEp and bias values of 2.37\% and -9.178 \texttimes{} 10-6\%, respectively, for SC. For DMC, the RMSEp and bias values were 2.67\% and 4.16 \texttimes{} 10-14\%, respectively. The results suggest that the calibration model could be used to monitor the internal quality of cassava tubers in the field. The variety, age, position, and section of the tubers had a slight influence on the prediction performance; however, the prediction accuracy was acceptable for in-field applications. The in-field portable NIR spectrometer could become a new tool for breeders, saving time and costs. Breeders could evaluate SC without destroying the cassava roots or stalks and could correct and inspect the behaviour of the SC and DMC accumulation. \textcopyright{} 2022 Elsevier B.V.",,,,,,TRUE,10.1016/j.compag.2022.106872,,,https://doi.org/10.1016/j.compag.2022.106872,10.1016__j.compag.2022.106872,,FALSE
15,Acquisition of High Spectral Resolution Diffuse Reflectance Image Cubes (350-2500 nm) from Archaeological Wall Paintings and Other Immovable Heritage Using a Field-Deployable Spatial Scanning Reflectance Spectrometry Hyperspectral System,"There is growing interest in bringing non-invasive laboratory-based analytical imaging tools to field sites to study wall paintings in order to collect molecular information on the macroscale. Analytical imaging tools, such as reflectance imaging spectrometry, have provided a wealth of information about artist materials and working methods, as well as painting conditions. Currently, scientific analyses of wall paintings have been limited to point-measurement techniques such as reflectance spectroscopy (near-ultraviolet, visible, near-infrared, and mid-infrared), X-ray fluorescence, and Raman spectroscopy. Macroscale data collection methods have been limited to multispectral imaging in reflectance and luminescence modes, which lacks sufficient spectral bands to allow for the mapping and identification of artist materials of interest. The development of laboratory-based reflectance and elemental imaging spectrometers and scanning systems has sparked interest in developing truly portable versions, which can be brought to field sites to study wall paintings where there is insufficient space or electrical power for laboratory instruments. This paper presents the design and testing of a simple hyperspectral system consisting of a 2D spatial spot scanning spectrometer, which provides high spectral resolution diffuse reflectance spectra from 350 to 2500 nm with high signal to noise and moderate spatial resolution (few mm). This spectral range at high spectral resolution was found to provide robust chemical specificity sufficient to identify and map many artists' materials, as well as the byproducts of weathering and conservation coatings across the surface of ancient and Byzantine Cypriot wall paintings. Here, we present a detailed description of the hyperspectral system, its performance, and examples of its use to study wall paintings from Roman tombs in Cyprus. The spectral/spatial image processing workflow to make maps of pigments and constituent painting materials is also discussed. This type of configurable hyperspectral system and the imaging processing workflow offer a new tool for the field study of wall paintings and other immovable heritage.",,,,,,TRUE,10.3390/s22051915,,,https://doi.org/10.3390/s22051915,10.3390__s22051915,,FALSE
16,Acute Stress Analysis Resulting from Word Construction Using EEG and fNIRS,"The regular exposure to stress in everyday lives can adversely affect one's health if its presence is not monitored. Hence, being able to classify the levels of stress an individual experiences remains important to one's health. This study utilized electroencephalogram (EEG) and functional near-infrared spectroscopy (fNIRS) captured while subjects played a mobile game that test their word construction ability. Multiple trials were conducted at varying difficulties in order to utilize a machine learning model to classify these varying levels of stress. Heart rate as well as galvanic skin response (GSR) data was also collected to reinforce the EEG and fNIRS findings. The data sets were then processed and verified using MATLAB and its machine learning model. The findings show that although each higher level of difficulty did not always increase the amount of stress felt, the overall act of playing the game put individuals at a higher state of stress compared with when they were not playing the game. \textcopyright{} 2022 IEEE.",,,,,,TRUE,10.1109/UEMCON54665.2022.9965628,,,https://doi.org/10.1109/UEMCON54665.2022.9965628,10.1109__UEMCON54665.2022.9965628,,FALSE
17,An Energy-Efficient Wearable Functional Near-infrared Spectroscopy System Employing Dual-level Adaptive Sampling Technique,"Functional near-infrared spectroscopy (fNIRS) is a powerful medical imaging tool in brain science and psychology, it can also be employed in brain-computer interface (BCI) due to its noninvasive and artifact-less-sensitive characteristics. Conventional ways to detect large-area brain activity using near-infrared (NIR) technology are based on Time-division or Frequency-division modulation technique, which traverses all physical sensory channels in a specific period. To achieve higher imaging resolution or brain-tasks classification accuracy, the NIRS system require higher density and more channels, which conflict with the limited battery capacity. Inspired by the functional atlas of the human brain, this paper proposes a spatial adaptive sampling (SAS) method. It can change the active channel pattern of the fNIRS system to match with the real-time brain activity, to increase the energy efficiency without significant reduction on the brain imaging quality or the accuracy of brain activity classification. Therefore, the number of the averaging enabled channels will be dramatically reduced in practice. To verify the proposed SAS technique, a wearable and flexible NIRS system has been implemented, in which each channel of light-emitting diode (LED) drive circuits and photodiode (PD) detection circuits can be power gated independently. Brain task experiments have been conducted to validate the proposed method, the power consumption of the LED drive module is reduced by 46.58\% compared to that without SAS technology while maintaining an average brain imaging PSNR (Peak Signal to Noise Ratio) of 35 dB. The brain-task classification accuracy is 80.47\%, which has a 2.67\% reduction compared to that without the SAS technique.",,,,,,TRUE,10.1109/TBCAS.2022.3149766,,,https://doi.org/10.1109/TBCAS.2022.3149766,10.1109__TBCAS.2022.3149766,,FALSE
19,Analysis and diagnosis of the state of conservation and restoration of paper-based artifacts: A non-invasive approach,"We report a non-invasive and multi-analytical physico-chemical method for the characterization of paper artworks, able to identify sizing, inks, and glues and to quantify oxidative degradation by-products. The proposed methodology is mostly carried out in situ by using easy-to-use and cheap portable instrumentation for the acquisition of multispectral images, punctual ultraviolet-visible-near infrared fiber-optics reflectance spectroscopy (FORS) and punctual fiber optics fluorescence spectroscopy. Further analytical information is provided by non-invasive in-situ sampling of paper surface by using soft latex sponges, making possible laboratory chromatographic and infrared spectroscopic analyses on the aqueous sponge extracts. The proposed diagnostics method was applied to two 17th century letters written by St Francis of Sales (1567–1622), collected at the Chigi Palace in the town of Ariccia (Italy). Results show an intense oxidative degradation of the letters, also localized in water spots, and the presence of carboxylic acids by-products. Analysis of FORS spectra provided the concentration of chromophores in the paper substrate. The diagnostic method allowed the identification of gelatin sizing, the presence of starch glue in specific areas of the letters and the type of ink used in the text. Our diagnostic approach aims to offer to conservator-restorer a characterization of a paper artwork, that can be applied to other, for a correct planning of conservation interventions. \textcopyright{} 2022 Elsevier Masson SAS",,,,,,TRUE,10.1016/j.culher.2022.04.003,,,https://doi.org/10.1016/j.culher.2022.04.003,10.1016__j.culher.2022.04.003,,FALSE
