id,title,abstract,"Normal paper? (e.g., not a survey paper, report or proposal)",Using near-infrared?,Mobile?,"Technical? (e.g., not a fundamental study or use a product only)","Involving apparatus? (e.g., not a chip or filter design, or a dataset)",Included?,doi,Remarks
5,3D near infrared and ultrasound imaging of peripheral blood vessels for real-time localization and needle guidance,"This paper presents a portable imaging device designed to detect peripheral blood vessels for cannula insertion that are otherwise difficult to visualize beneath the skin. The device combines near infrared stereo vision,ultrasound,and real-time image analysis to map the 3D structure of subcutaneous vessels. We show that the device can identify adult forearm vessels and be used to guide manual insertions in tissue phantoms with increased first-stick accuracy compared to unassisted cannulation. We also demonstrate that the system may be coupled with a robotic manipulator to perform automated,image-guided venipuncture.",,,,,,,10.1007/978-3-319-46726-9_45,
12,A Brain-Computer Interface Based on a Few-Channel EEG-fNIRS Bimodal System,"With the development of the wearable brain-computer interface (BCI), a few-channel BCI system is necessary for its application to daily life. In this paper, we proposed a bimodal BCI system that uses only a few channels of electroencephalograph (EEG) and functional near-infrared spectroscopy (fNIRS) signals to obtain relatively high accuracy. We developed new approaches for signal acquisition and signal processing to improve the performance of this few-channel BCI system. At the signal acquisition stage, source analysis was applied for both EEG and fNIRS signals to select the optimal channels for bimodal signal collection. At the feature extraction stage, phase-space reconstruction was applied to the selected three-channel EEG signals to expand them into multichannel signals, thus allowing the use of the traditional effective common spatial pattern to extract EEG features. For the fNIRS signal, the Hurst exponents for the selected ten channels were calculated and composed of the fNIRS data feature. At the classification stage, EEG and fNIRS features were joined and classified with the support vector machine. The averaged classification accuracy of 12 participants was 81.2% for the bimodal EEG-fNIRS signals, which was significantly higher than that for either single modality.",,,,,,,10.1109/ACCESS.2016.2637409,
16,A Compact Continuous non-Invasive Glucose Monitoring System with Phase-Sensitive Front End,"A working prototype of a wearable continuous noninvasive glucose monitoring system based on near infra-red (NIR) illumination at 940nm has been implemented and demonstrated with a phase-sensitive analog detector front-end and digital backend. The proposed design is capable of tracking the naturally weak NIR interactions in both transmissive (absorbance) and reflective (diffused reflectance) mode, depending on the optical head design. The front-end of the high-fidelity lock-in detection system is implemented using purely analog components consisting of a pre-amplifier integrated with the photo-sensor and an analog single-chip CMOS lock-in-amplifier, which enhances signal-to-noise ratio (SNR), thus reducing the need for an aggressive signal processing (i.e. power consumption) in the digital backend. Following the discrete measurements using transmissive NIR illumination that confirmed the viability of the proposed analog front-end design, continuous measurements of both transmissive absorbance and diffused NIR reflectance were recorded. Oral glucose tolerance tests (OGTT) have been performed on fasting human subjects by the intake of 50 gm glucose solution or tablets. Concurrent measurements of the proposed non-invasive techniques and conventional invasive blood pricking were executed to provide a control for comparison. The temporal trend observed on the same OGTT protocol from the proposed continuous compact glucometer and control measurements strongly correlates, validating the clinical significance of the proposed prototype.",,,,,,,10.1109/BIOCAS.2018.8584693,
17,A compact multispectral image capture unit for deployment on drones,"The design, implementation and evaluation of a lightweight portable multispectral imaging system for deployment on drones is presented in this paper. The dual cameras used enable concurrent capture of red, green, blue (RGB) and near-infrared (NIR) images using simultaneous triggering. The images are stored in native file generated format. A global positioning system (GPS) connected to the camera's controllers enables geo-tagging of the images via exchangeable image file format (EXIF) metadata. A second-order polynomial has been utilized in order to align and test the RGB and NIR images to attain subpixel accuracy. The system was implemented in the matrix laboratory (MATLAB) and the developed algorithm was verified for accuracy considering different environmental conditions and scenarios.",,,,,,,10.1109/I2MTC.2016.7520445,
18,A compact NIR fluorescence imaging system with goggle display for intraoperative guidance,"Near infra-red (NIR) fluorescence imaging offers high sensitivity and specificity for cancer detection and tumor margin localization. In this paper, a compact and wearable NIR fluorescence imaging system (FIS) for image guided surgery is presented. The proposed FIS captures 27 frames per second of both NIR and visible spectrum data, allowing for minimum detection of 10nM of ICG concentration. The design tradeoffs of the complete system are carefully analyzed. The performance of the proposed FIS is evaluated under both sensitivity test and experimental mouse study. The imaging system is currently used in clinical trials for imaging sentinel lymph nodes in breast cancer and melanoma patients.",,,,,,,10.1109/ISCAS.2015.7168960,
19,A Configurable Wireless Optical Brain Monitor Based on Internet-of-Things Services,"There is an increasing interest in understanding the brain in its natural state. This recently led to the wide adoption of portable brain monitors including functional Near-Infrared Spectroscopy (fNIRS) which uses near-infrared (NIR) light to capture the brain's hemodynamic responses, also known as cerebral oxygenation. Nowadays, fNIRS is used in clinical settings of various medical fields including neurology, neuroscience, clinical psychology, and psychiatry. Compared to its counterpart, functional Magnetic Resonance Imaging (fMRI), fNIRS is portable and provides higher temporal resolution for scanning the hemodynamic response of the cortical layer of the brain. fNIRS has the potential to work as a smart wearable device to monitor a brain in an unconstrained setting. However, wearable implementation is challenging as the fNIRS system demands a complex circuit to drive NIR light sources and detect low intensity reflected light from the scalp. Also, the algorithm for the real-Time controlling, configuration, data acquisition, and signal processing are complex for a wearable smart fNIRS. Currently available fNIRS systems are not intelligent, completely wearable or designed as a smart body sensor network (BSN) node. In this paper, we present our recent design of a configurable fNIRS system that acts as a BSN node controlled by a remote Graphical User Interface (GUI). The presented fNIRS system is based on an embedded board where we deployed a internet-of-Things (IoT) based service-oriented architecture providing the functionality of montage configuration, fNIRS signal testing, calibration, channel selection, data collection and wireless data transmission to the GUI. This development can improve the flexibility of the fNIRS system regarding its use in natural environments where the brain functions of moving human subjects are monitored. We have experimentally evaluated working of the hardware, software, GUI and wireless data transmission, and capability of detecting hemodynamic responses.",,,,,,,10.1109/ICEECCOT43722.2018.9001456,
20,A Cost Effective and Field Deployable System for Soil Macronutrient Analysis Based on Near-Infrared Reflectance Spectroscopy,"Near-infrared reflectance (NIR) spectroscopy is a technique that shows many possibilities in the field of testing chemical and physical properties of soil. This paper is aimed to design a prototype of an integrated optoelectronic sensing system capable of estimating soil macronutrients- Nitrogen (N), Phosphorus (P), Potassium (K), pH and Organic Carbon (OC) which play major role in the process of plant growth. 24 soil samples have been collected from farming fields of Birbhum, West Bengal and calibrated using near infrared reflectance spectroscopy. Partial least square (PLS) model along with Standard Normal Variate (SNV) pre-treatment technique has been developed to extract features from the spectroscopic plot which is required for development of field deployable system. The handheld interface attempted in this paper comprises of a simple soil sieve, the output of which is fed in the optoelectronic system which exposes the sieved soil sample to selected IR wavelengths and processes the photodiode output using ARDUINO microcontroller. The trained PLS model embedded in the microcontroller provides estimation of the essential macronutrients with appreciable accuracy. This indigenous system is expected to enhance the scope of precision agriculture in rural India.",,,,,,,10.1007/978-981-13-6435-8_23,
21,A cost-effective and portable optical sensor system to estimate leaf nitrogen and water contents in crops,"Non‐invasive determination of leaf nitrogen (N) and water contents is essential for ensuring the healthy growth of the plants. However, most of the existing methods to measure them are expensive. In this paper, a low‐cost, portable multispectral sensor system is proposed to determine N and water contents in the leaves, non‐invasively. Four different species of plants--- canola, corn, soybean, and wheat---are used as test plants to investigate the utility of the proposed device. The sensor system comprises two multispectral sensors, visible (VIS) and near‐infrared (NIR), detecting reflectance at 12 wavelengths (six from each sensor). Two separate experiments were performed in a controlled greenhouse environment, including N and water experiments. Spectral data were collected from 307 leaves (121 for N and 186 for water experiment), and the rational quadratic Gaussian process regression (GPR) algorithm was applied to correlate the reflectance data with actual N and water content. By performing five‐fold cross‐validation, the N estimation showed a coefficient of determination (R2) of 63.91% for canola, 80.05% for corn, 82.29% for soybean, and 63.21% for wheat. For water content estimation, canola showed an R2 of 18.02%, corn showed an R2 of 68.41%, soybean showed an R2 of 46.38%, and wheat showed an R2 of 64.58%. The result reveals that the proposed low‐cost sensor with an appropriate regression model can be used to determine N content. However, further investigation is needed to improve the water estimation results using the proposed device.",,,,,,,10.3390/s20051449,
22,A depth camera for natural human-computer interaction based on near-infrared imaging and structured light,"Designing of a novel depth camera is presented, which targets close-range (20-60cm) natural human-computer interaction especially for mobile terminals. In order to achieve high precision through the working range, a two-stepping method is employed to match the near infrared intensity image to absolute depth in real-time. First, we use structured light achieved by an 808nm laser diode and a Dammann grating to coarsely quantize the output space of depth values into discrete bins. Then use a learning-based classification forest algorithm to predict the depth distribution over these bins for each pixel in the image. The quantitative experimental results show that this depth camera has 1% precision over range of 20-60cm, which show that the camera suit resource-limited and low-cost application.",,,,,,,10.1117/12.2190642,
24,A diagnostic visible/near infrared tool for a fully automated olive ripeness evaluation in a view of a simplified optical system,"A diagnostic visible/near infrared tool calibrated by means of image analysis,was proposed to evaluate the maturation degree of oil olives in order to replace traditional subjective methods in a view of future fully automated applications. Thirteen varieties of Olea europaea deriving from four regions of the south of Italy were analyzed. In order to objectify the ripening stage assessment, the RGB image was acquired. Spectroscopic analyses were performed using a benchtop FT-NIR and a portable vis/NIR instrument. The benchtop device was equipped with an optical fiber probe and the spectra were collected over the 800--2500 nm range, nominal resolution of 1.6 nm; the portable spectrophotometer cover the range of 400--1000 nm, nominal resolution 0.3 nm. The olive spectral data were modelled using Partial Least Squares - Discriminant Analysis (PLS-DA). The prediction capability reached by the global model (13 varieties were used) obtained from data acquired with both the devices results promising. The PLS-DA models calculated on the olives from Calabria, Sardinia and Abruzzo revealed high prediction capabilities, i.e. sensitivity, specificity and accuracy higher than 83%. The prediction capability of Apulia samples could be improved increasing the variability of the samples since for this region only 3 sampling times were considered. To compare the modelling performance between the benchtop FT-NIR and the portable vis/NIR device, a McNemar's test was performed resulting no significant difference between the PLS-DA global models. Finally, considering the good performance of the vis/NIR model, a variable selection using the interval PLS (iPLS) algorithm was applied. To reduce the complexity keeping the performance of the model built using the whole vis/NIR spectra (1647 variables), 12 bands (1.5 nm wide) were selected. The new model showed an improvement in terms of model stability and complexity (Sensitivity 86%; Specificity 87%; Accuracy 87%) than the two global models built with the whole vis/NIR and NIR range. The classification performance provided the groundwork for the development of (i) simplified systems for a direct olives ripening determination on the olive tree, and (ii) automated systems to be applied both in field and at the mill for olives sorting according to the ripening degree.",,,,,,,10.1016/j.compag.2020.105887,
26,A filter-based method to calculate heart rate from near infrared video,"Heart rate is the primary indicator of a person's physical condition. The conventional method requires wearable sensors to obtain heart rate which are not comfortable for persons. Based on the theory of cardiovascular system of human body, different cameras are used to estimate heart rate in differ-ent conditions of illumination but the existing methods are com-putationally complex. A simple filter based method to calculate heart rate in dark environment using near infrared camera is proposed in this paper. The correlation between the calculated result and reference was found 0.98.",,,,,,,10.1109/SCIS-ISIS.2018.00182,
27,A five band near-infrared portable sensor in nondestructively predicting the internal quality of pineapples,"The determination of the fruit taste and grade depends on the internal quality of the fruit such as total soluble content, pH, and acidity. This paper investigates the feasibility of a non-destructive method to classify the internal quality of the pineapples using near infrared light and artificial neural network. Five near infrared light emitting diodes (LEDs) were used as the light source to emit near infrared light. A photodiode was used to measure the intensity of the reflected near infrared light from pineapples. The data of the acquired near infrared light were used to classify the internal quality of the pineapple using neural network. The random seed and the hidden neurons of the neural network were optimised to maximise the classification accuracy. Findings indicate that the neural network with seven hidden neurons was capable of achieving 30% misclassification.",,,,,,,10.1109/CSPA.2017.8064938,
30,A Kinect-Based Wearable Face Recognition System to Aid Visually Impaired Users,"In this paper, we introduce a real-time face recognition (and announcement) system targeted at aiding the blind and low-vision people. The system uses a Microsoft Kinect sensor as a wearable device, performs face detection, and uses temporal coherence along with a simple biometric procedure to generate a sound associated with the identified person, virtualized at his/her estimated 3-D location. Our approach uses a variation of the K-nearest neighbors algorithm over histogram of oriented gradient descriptors dimensionally reduced by principal component analysis. The results show that our approach, on average, outperforms traditional face recognition methods while requiring much less computational resources (memory, processing power, and battery life) when compared with existing techniques in the literature, deeming it suitable for the wearable hardware constraints. We also show the performance of the system in the dark, using depth-only information acquired with Kinect's infrared camera. The validation uses a new dataset available for download, with 600 videos of 30 people, containing variation of illumination, background, and movement patterns. Experiments with existing datasets in the literature are also considered. Finally, we conducted user experience evaluations on both blindfolded and visually impaired users, showing encouraging results.",,,,,,,10.1109/THMS.2016.2604367,depth camera
31,A low-cost and portable smart instrumentation for detecting colorectal cancer cells,"Fluorescence imaging is a well-known method for monitoring fluorescence emitted from the subject of interest and provides important insights about cell dynamics and molecules in mammalian cells. Currently, many solutions exist for measuring fluorescence, but the application methods are complex and the costs are high. This paper describes the design and development of a low-cost, smart and portable fluorimeter for the detection of colorectal cancer cell expressing IRFP702. A flashlight is used as a light source, which emits light in the visible range and acts as an excitation source, while a photodiode is used as a detector. It also uses a longpass filter to only allow the wavelength of interest to pass from the cultured cell. It eliminates the need of both the dichroic mirror and excitation filter, which makes the developed device low cost, compact and portable as well as lightweight. The custom-built sample chamber is black in color to minimize interference and is printed with a 3D printer to accommodate the detector circuitry. An established colorectal cancer cell line (human colorectal carcinoma (HCT116)) was cultured in the laboratory environment. A near-infrared fluorescent protein IRFP702 was expressed in the colorectal cancer cells that were used to test the proof-of-concept. The fluorescent cancer cells were first tested with a commercial imaging system (Odyssey{\textregistered} CLx) and then with the developed prototype to validate the result in a preclinical setting. The developed fluorimeter is versatile as it can also be used to detect multiple types of cancer cells by simply replacing the filters based on the fluorophore.",,,,,,,10.3390/app9173510,
32,A low-cost method for collecting hyperspectral measurements from a small unmanned aircraft system,"Small unmanned aircraft systems (UAS) are a relatively new tool for collecting remote sensing data at dense spatial and temporal resolutions. This study aimed to develop a spectral measurement platform for deployment on a UAS for quantifying and delineating moisture zones within an agricultural landscape. A series of portable spectrometers covering ultraviolet (UV), visible (VIS), and near-infrared (NIR) wavelengths were instrumented using a Raspberry Pi embedded computer that was programmed to interface with the UAS autopilot for autonomous data acquisition. A second set of identical spectrometers were fitted with calibrated irradiance lenses to capture ambient light during data acquisition. Data were collected during the 2017 Great American Eclipse while observing a reflectance target to determine the ability to compensate for ambient light conditions. A calibration routine was developed that scaled raw reflectance data by sensor integration time and ambient light energy. The resulting calibrated reflectance exhibited a consistent spectral profile and average intensity across a wide range of ambient light conditions. Results indicated the potential for mitigating the effect of ambient light when passively measuring reflectance on a portable spectral measurement system. Future work will use multiple reflectance targets to test the ability to classify targets based on spectral signatures under a wide range of ambient light conditions.",,,,,,,10.1117/12.2305934,robot
33,A low-cost multichannel NIRS oximeter for monitoring systemic low-frequency oscillations,"Systemic low-frequency oscillations (sLFOs) are non-neuronal oscillations at 0.01--0.15 Hz. These sLFOs travel through the entire body and the brain with symmetrical (across the midline of the body) and highly predictable delays, where they can be observed with functional near-infrared spectroscopy (fNIRS) and blood oxygen level-dependent functional magnetic resonance imaging. Their characteristics may serve as useful biomarkers for detecting and monitoring circulatory dysfunction. Pure sLFOs can be collected in the periphery (e.g., fingers, toes, earlobes). Here we present a 7-channel NIRS oximeter [MNO] for sLFOs detection and analysis in the periphery, which we named concurrent continuous wave fNIRS system (CON-CW fNIRS). Our CON-CW fNIRS is small (10 × 10 × 20 cm3), highly portable, has low-power consumption and is highly cost-effective (below $300). We show that our device is highly reliable and can reproduce values acquired with a commercial fNIRS device with direct comparison (rmax = 0.908 ∆[HbO] and rmax = 0.841 ∆[Hb]) and when compared to previously published data.",,,,,,,10.1007/s00521-020-04897-5,
