type,abstract,booktitle,date-added,date-modified,doi,isbn,issn,keywords,pages,title,volume,year,bdsk-url-1,author,journal,number,url,bdsk-url-2,archiveprefix,arxivid,eprint,pmid
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s11554-017-0716-1,,18618200,,415--418,GUEST EDITORIAL special issue on real-time perceptual-inspired imaging systems with computational science and aesthetics,13,2017,http://link.springer.com/article/10.1007/s11554-017-0716-1,"[{'first': 'Sanghyun', 'last': 'Seo'}, {'first': 'Bo', 'middle': 'Wei', 'last': 'Chen'}, {'first': 'Periklis', 'last': 'Chatzimisios'}, {'first': 'Seungmin', 'last': 'Rho'}]",Journal of Real-Time Image Processing,3,http://link.springer.com/article/10.1007/s11554-017-0716-1,https://doi.org/10.1007/s11554-017-0716-1,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:06 +1000,10.1007/978-3-319-13695-0_71,,,,697--705,"Non-invasive Materials Analysis Using Portable X-ray Fluorescence (XRF) in the Examination of Two Mural Paintings in the Catacombs of San Giovanni, Syracuse",,2014,http://link.springer.com/chapter/10.1007/978-3-319-13695-0_71,"[{'first': 'Samantha', 'last': 'Stout'}, {'first': 'Antonino', 'last': 'Cosentino'}, {'first': 'Carmelo', 'last': 'Scandurra'}]","Digital Heritage. Progress in Cultural Heritage: Documentation, Preservation, and Protection",,http://link.springer.com/chapter/10.1007/978-3-319-13695-0_71,https://doi.org/10.1007/978-3-319-13695-0_71,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/978-3-030-76776-1_13,,,,193--204,Design and Implementation of Lightweight Dynamic Elliptic Curve Cryptography Using Schoof's Algorithm,,2021,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_13,"[{'first': 'Ansh', 'last': 'Tyagi'}, {'first': 'K.', 'middle': 'K. Soundra', 'last': 'Pandian'}, {'first': 'Shamsuddin', 'last': 'Khan'}]","Computing Science, Communication and Security",,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_13,https://doi.org/10.1007/978-3-030-76776-1_13,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:07 +1000,10.1007/s00779-017-1069-2,,16174909,,317--332,Realising the right to data portability for the domestic Internet of things,22,2018,http://link.springer.com/article/10.1007/s00779-017-1069-2,"[{'first': 'Lachlan', 'last': 'Urquhart'}, {'first': 'Neelima', 'last': 'Sailaja'}, {'first': 'Derek', 'last': 'McAuley'}]",Personal and Ubiquitous Computing,2,http://link.springer.com/article/10.1007/s00779-017-1069-2,https://doi.org/10.1007/s00779-017-1069-2,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:10 +1000,10.3103/s0005105516020059,,0005-1055,,47--55,The conceptual form of an advanced technology package for the information support of knowledge-intensive production,50,2016,http://link.springer.com/article/10.3103/S0005105516020059,"[{'first': 'O.', 'middle': 'V.', 'last': 'Syuntyurenko'}, {'first': 'O.', 'middle': 'S.', 'last': 'Bulycheva'}]",Automatic Documentation and Mathematical Linguistics,2,http://link.springer.com/article/10.3103/S0005105516020059,https://doi.org/10.3103/s0005105516020059,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:08 +1000,10.1007/s00779-017-1066-5,,16174909,,289--292,Special theme on privacy and the Internet of things,22,2018,http://link.springer.com/article/10.1007/s00779-017-1066-5,"[{'first': 'Alan', 'last': 'Chamberlain'}, {'first': 'Andy', 'last': 'Crabtree'}, {'first': 'Hamed', 'last': 'Haddadi'}, {'first': 'Richard', 'last': 'Mortier'}]",Personal and Ubiquitous Computing,2,http://link.springer.com/article/10.1007/s00779-017-1066-5,https://doi.org/10.1007/s00779-017-1066-5,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:07 +1000,10.1007/s10664-020-09806-x,,15737616,,2137--2139,Preface to the special issue on program comprehension,25,2020,http://link.springer.com/article/10.1007/s10664-020-09806-x,"[{'first': 'Janet', 'last': 'Siegmund'}, {'first': 'Chanchal', 'middle': 'K.', 'last': 'Roy'}]",Empirical Software Engineering,3,http://link.springer.com/article/10.1007/s10664-020-09806-x,https://doi.org/10.1007/s10664-020-09806-x,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s00146-021-01185-1,,0951-5666,,,Writing in water: dense responsive media in place of relational interfaces,,2021,http://link.springer.com/article/10.1007/s00146-021-01185-1,"[{'first': 'Xin', 'middle': 'Wei', 'last': 'Sha'}]",Ai & Society,,http://link.springer.com/article/10.1007/s00146-021-01185-1,https://doi.org/10.1007/s00146-021-01185-1,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s11623-013-0213-z,,1614-0702,,530--534,{eID mit abgeleiteten Identit{\'{a}}ten},37,2013,http://link.springer.com/article/10.1007/s11623-013-0213-z,"[{'first': 'Martin', 'last': ""Schr{\\'{o}}der""}, {'first': 'Frank', 'last': 'Morgner'}]",Datenschutz und Datensicherheit - DuD,8,http://link.springer.com/article/10.1007/s11623-013-0213-z,https://doi.org/10.1007/s11623-013-0213-z,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:32:59 +1000,10.1007/s11623-015-0483-8,,1614-0702,,611--616,An ID database for post-referendum Scotland? A legal-contextual analysis,39,2015,http://link.springer.com/article/10.1007/s11623-015-0483-8,"[{'first': 'Burkhard', 'last': 'Schafer'}]",Datenschutz und Datensicherheit - DuD,9,http://link.springer.com/article/10.1007/s11623-015-0483-8,https://doi.org/10.1007/s11623-015-0483-8,,,,
