type,abstract,booktitle,date-added,date-modified,doi,isbn,issn,keywords,pages,title,volume,year,bdsk-url-1,author,journal,number,url,bdsk-url-2,archiveprefix,arxivid,eprint,pmid
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s11554-017-0716-1,,18618200,,415--418,GUEST EDITORIAL special issue on real-time perceptual-inspired imaging systems with computational science and aesthetics,13,2017,http://link.springer.com/article/10.1007/s11554-017-0716-1,"[{'first': 'Sanghyun', 'last': 'Seo'}, {'first': 'Bo', 'middle': 'Wei', 'last': 'Chen'}, {'first': 'Periklis', 'last': 'Chatzimisios'}, {'first': 'Seungmin', 'last': 'Rho'}]",Journal of Real-Time Image Processing,3,http://link.springer.com/article/10.1007/s11554-017-0716-1,https://doi.org/10.1007/s11554-017-0716-1,,,,
article,"X-ray Fluorescence Spectroscopy was performed to characterize pigment materials in a preliminary study of two mural paintings in the Catacombs of San Giovanni. XRF was one non-invasive, analytical technique employed as part of a comprehensive examination, which also included multispectral imaging and 3D modeling. XRF analysis contributed towards a better idea of the materials present, but definitive assignments for the pigments were not possible. The murals show some signs of degradation products including a calcium sulfate surface encrustation, and a bluish-black copper based pigment, which we suspect is the degradation of azurite into tenorite.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:06 +1000,10.1007/978-3-319-13695-0_71,,,,697--705,"Non-invasive Materials Analysis Using Portable X-ray Fluorescence (XRF) in the Examination of Two Mural Paintings in the Catacombs of San Giovanni, Syracuse",,2014,http://link.springer.com/chapter/10.1007/978-3-319-13695-0_71,"[{'first': 'Samantha', 'last': 'Stout'}, {'first': 'Antonino', 'last': 'Cosentino'}, {'first': 'Carmelo', 'last': 'Scandurra'}]","Digital Heritage. Progress in Cultural Heritage: Documentation, Preservation, and Protection",,http://link.springer.com/chapter/10.1007/978-3-319-13695-0_71,https://doi.org/10.1007/978-3-319-13695-0_71,,,,
article,"Security and efficiency for resource constrained devices using lightweight cryptography techniques is still a problem. It is important to make these devices secure from the intruders and communicate with them securely. Elliptic Curve Cryptography (ECC) comes out to be a major contender to solve this problem as it provides the security using smaller key length. Since the conventional ECC works on predefined and fixed curves, the elliptic curves are analysed thoroughly since the emergence of ECC. This paper, proposes an implementation of dynamic elliptic curves which are secure and feasible for Internet of Things (IoT) devices and other devices which require lightweight cryptography for security. The experimental results show the feasibility and efficiency of the algorithm used to generate dynamic curve for cryptography. Also, a new curve will be generated at each runtime. It would be nearly impossible for intruders to exploit and retract information from the devices. Hence, the proposed technique is more secure and practically efficient for resource constrained devices.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/978-3-030-76776-1_13,,,,193--204,Design and Implementation of Lightweight Dynamic Elliptic Curve Cryptography Using Schoof's Algorithm,,2021,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_13,"[{'first': 'Ansh', 'last': 'Tyagi'}, {'first': 'K.', 'middle': 'K. Soundra', 'last': 'Pandian'}, {'first': 'Shamsuddin', 'last': 'Khan'}]","Computing Science, Communication and Security",,http://link.springer.com/chapter/10.1007/978-3-030-76776-1_13,https://doi.org/10.1007/978-3-030-76776-1_13,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:07 +1000,10.1007/s00779-017-1069-2,,16174909,,317--332,Realising the right to data portability for the domestic Internet of things,22,2018,http://link.springer.com/article/10.1007/s00779-017-1069-2,"[{'first': 'Lachlan', 'last': 'Urquhart'}, {'first': 'Neelima', 'last': 'Sailaja'}, {'first': 'Derek', 'last': 'McAuley'}]",Personal and Ubiquitous Computing,2,http://link.springer.com/article/10.1007/s00779-017-1069-2,https://doi.org/10.1007/s00779-017-1069-2,,,,
article,"The development trends of the global information environment and present-day high-tech production are demonstrated. A CAD methodology for supplying the stages of the “research–development–production” cycle with scientific, technical, and techno-economic information is considered from a systemic perspective. A virtually synthesized technology package for the continuous information support of the lifecycle of a product with a CAD system as its core is presented. The architecture and functional content of the technology package, as well as qualitatively new characteristics of the information support process for knowledge-intensive production, are shown.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:10 +1000,10.3103/s0005105516020059,,0005-1055,,47--55,The conceptual form of an advanced technology package for the information support of knowledge-intensive production,50,2016,http://link.springer.com/article/10.3103/S0005105516020059,"[{'first': 'O.', 'middle': 'V.', 'last': 'Syuntyurenko'}, {'first': 'O.', 'middle': 'S.', 'last': 'Bulycheva'}]",Automatic Documentation and Mathematical Linguistics,2,http://link.springer.com/article/10.3103/S0005105516020059,https://doi.org/10.3103/s0005105516020059,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:08 +1000,10.1007/s00779-017-1066-5,,16174909,,289--292,Special theme on privacy and the Internet of things,22,2018,http://link.springer.com/article/10.1007/s00779-017-1066-5,"[{'first': 'Alan', 'last': 'Chamberlain'}, {'first': 'Andy', 'last': 'Crabtree'}, {'first': 'Hamed', 'last': 'Haddadi'}, {'first': 'Richard', 'last': 'Mortier'}]",Personal and Ubiquitous Computing,2,http://link.springer.com/article/10.1007/s00779-017-1066-5,https://doi.org/10.1007/s00779-017-1066-5,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:07 +1000,10.1007/s10664-020-09806-x,,15737616,,2137--2139,Preface to the special issue on program comprehension,25,2020,http://link.springer.com/article/10.1007/s10664-020-09806-x,"[{'first': 'Janet', 'last': 'Siegmund'}, {'first': 'Chanchal', 'middle': 'K.', 'last': 'Roy'}]",Empirical Software Engineering,3,http://link.springer.com/article/10.1007/s10664-020-09806-x,https://doi.org/10.1007/s10664-020-09806-x,,,,
article,"In this essay we explore extensive modes of enactive engagement among humans, physical and computational media richer than the modes represented by classical notions of interaction and relation. We make use of a radically material and a potential-theoretic account of event to re-conceive ad hoc, non-pre-schematized activity in responsive environments. We can regard such activity as sense-making via dehomogenization of material that co-articulates subjects and objects.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s00146-021-01185-1,,0951-5666,,,Writing in water: dense responsive media in place of relational interfaces,,2021,http://link.springer.com/article/10.1007/s00146-021-01185-1,"[{'first': 'Xin', 'middle': 'Wei', 'last': 'Sha'}]",Ai & Society,,http://link.springer.com/article/10.1007/s00146-021-01185-1,https://doi.org/10.1007/s00146-021-01185-1,,,,
article,"Die Authentifizierung per Benutzername und Passwort ist auch im Jahr 2013 immer noch weit verbreitet. Obwohl jährlich neue sogenannte Passwortkiller angekündigt werden, konnte sich bisher keine alternative Lösung in der Breite durchsetzen. Gründe dafür sind die Integration neuer Lösungen in bestehende Systeme sowie die nötige Umgewöhnung des Benutzers. In unserem Artikel wird das Konzept der abgeleiteten Identität mithilfe des neuen Personalausweises vorgestellt, das eine Brücke zwischen verschiedenen Authentifizierungsmethoden schlägt. Somit können neue sichere Methoden leichter eingeführt werden, ohne zu viel an bestehenden Systemen oder an bekannter Nutzungsweise ändern zu müssen.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s11623-013-0213-z,,1614-0702,,530--534,{eID mit abgeleiteten Identit{\'{a}}ten},37,2013,http://link.springer.com/article/10.1007/s11623-013-0213-z,"[{'first': 'Martin', 'last': ""Schr{\\'{o}}der""}, {'first': 'Frank', 'last': 'Morgner'}]",Datenschutz und Datensicherheit - DuD,8,http://link.springer.com/article/10.1007/s11623-013-0213-z,https://doi.org/10.1007/s11623-013-0213-z,,,,
article,"To the surprise of many observers, the Scottish government announced in early 2015 plans for a Scottish National ID system, based on the existing health service database. The Scottish National Party (SNP), in power in Scotland since 2007, had previously strongly rejected similar plans for a national database for the whole of the UK due to privacy concerns. How can this change of policy be explained?",,2022-07-22 11:32:24 +1000,2022-07-22 11:32:59 +1000,10.1007/s11623-015-0483-8,,1614-0702,,611--616,An ID database for post-referendum Scotland? A legal-contextual analysis,39,2015,http://link.springer.com/article/10.1007/s11623-015-0483-8,"[{'first': 'Burkhard', 'last': 'Schafer'}]",Datenschutz und Datensicherheit - DuD,9,http://link.springer.com/article/10.1007/s11623-015-0483-8,https://doi.org/10.1007/s11623-015-0483-8,,,,
article,"Owing to the continual attacks by pests particularly the bark-beetles (viz borers), there has been tremendous destruction of the forest resources. Beetle attacks are also responsible for severe production loss in commercial crops, thus leading to distress to farmers. In this paper, we have presented a novel approach to detect the pest attack in yielding cashew trees at early stage, i.e. to develop a portable unit. The preliminary analysis of bark samples (taken at height of 1.5 meter) shows a clear distinction between the good and infested trees. Also, the chlorophyll analysis performed on leaf samples shows the result for good and different stages of infestation as decrease in absorbance values of the leaf extract. The proposed design will indicate the status of a cashew tree by analysing the chlorophyll content of leaves and conductivity of bark, both of which will be utilised to make an ultimate confirmation.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s40012-018-0198-8,,2277-9078,,215--219,Farmer-friendly portable system for diagnosis of pest attack in cashew trees,6,2018,http://link.springer.com/article/10.1007/s40012-018-0198-8,"[{'first': 'Yogini', 'last': '{Venkatraman Prabhu}'}, {'first': 'Jivan', 'middle': 'S.', 'last': 'Parab'}, {'first': 'Rajendra', 'middle': 'S.', 'last': 'Gad'}, {'first': 'Gaurish', 'middle': 'M.', 'last': 'Naik'}]",CSI Transactions on ICT,2,http://link.springer.com/article/10.1007/s40012-018-0198-8,https://doi.org/10.1007/s40012-018-0198-8,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s00521-017-3202-6,,09410643,,2839--2841,Guest editorial: New trends in data pre-processing methods for signal and image classification,28,2017,http://link.springer.com/article/10.1007/s00521-017-3202-6,"[{'first': 'Kemal', 'last': 'Polat'}, {'first': 'Hariharan', 'last': 'Muthusamy'}, {'first': 'Rajendra', 'last': 'Acharya'}, {'first': 'Yanhui', 'last': 'Guo'}]",Neural Computing and Applications,10,http://link.springer.com/article/10.1007/s00521-017-3202-6,https://doi.org/10.1007/s00521-017-3202-6,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:32:59 +1000,10.1186/s42162-020-00113-9,,,,,Abstracts from the 9th DACH+ Conference on Energy Informatics,3,2020,http://link.springer.com/article/10.1186/s42162-020-00113-9,,Energy Informatics,S2,http://link.springer.com/article/10.1186/s42162-020-00113-9,https://doi.org/10.1186/s42162-020-00113-9,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:08 +1000,10.1007/s11107-015-0530-2,,1387974X,,,Special issue on energy-efficient optical networks,30,2015,http://link.springer.com/article/10.1007/s11107-015-0530-2,"[{'first': 'Paolo', 'last': 'Monti'}, {'first': 'Annalisa', 'last': 'Morea'}, {'first': 'Ampalavanapillai', 'last': 'Nirmalathas'}, {'first': 'Vinod', 'middle': 'M.', 'last': 'Vokkarane'}]",Photonic Network Communications,1,http://link.springer.com/article/10.1007/s11107-015-0530-2,https://doi.org/10.1007/s11107-015-0530-2,,,,
